"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Connecticut"	"09"	"2024"	"2024"	"January"	"1"	2720
	"Connecticut"	"09"	"2024"	"2024"	"February"	"2"	2729
	"Delaware"	"10"	"2023"	"2023"	"January"	"1"	885
	"Delaware"	"10"	"2023"	"2023"	"February"	"2"	774
	"Delaware"	"10"	"2023"	"2023"	"March"	"3"	900
	"Delaware"	"10"	"2023"	"2023"	"April"	"4"	809
	"Delaware"	"10"	"2023"	"2023"	"May"	"5"	900
	"Delaware"	"10"	"2023"	"2023"	"June"	"6"	888
	"Delaware"	"10"	"2023"	"2023"	"July"	"7"	854
	"Delaware"	"10"	"2023"	"2023"	"August"	"8"	966
	"Delaware"	"10"	"2023"	"2023"	"September"	"9"	874
	"Delaware"	"10"	"2023"	"2023"	"October"	"10"	873
	"Delaware"	"10"	"2023"	"2023"	"November"	"11"	868
	"Delaware"	"10"	"2023"	"2023"	"December"	"12"	836
	"Delaware"	"10"	"2024"	"2024"	"January"	"1"	860
	"Delaware"	"10"	"2024"	"2024"	"February"	"2"	781
	"District of Columbia"	"11"	"2023"	"2023"	"January"	"1"	668
	"District of Columbia"	"11"	"2023"	"2023"	"February"	"2"	611
	"District of Columbia"	"11"	"2023"	"2023"	"March"	"3"	693
	"District of Columbia"	"11"	"2023"	"2023"	"April"	"4"	610
	"District of Columbia"	"11"	"2023"	"2023"	"May"	"5"	687
	"District of Columbia"	"11"	"2023"	"2023"	"June"	"6"	638
	"District of Columbia"	"11"	"2023"	"2023"	"July"	"7"	700
	"District of Columbia"	"11"	"2023"	"2023"	"August"	"8"	677
	"District of Columbia"	"11"	"2023"	"2023"	"September"	"9"	644
	"District of Columbia"	"11"	"2023"	"2023"	"October"	"10"	688
	"District of Columbia"	"11"	"2023"	"2023"	"November"	"11"	634
	"District of Columbia"	"11"	"2023"	"2023"	"December"	"12"	646
	"District of Columbia"	"11"	"2024"	"2024"	"January"	"1"	612
	"District of Columbia"	"11"	"2024"	"2024"	"February"	"2"	591
	"Florida"	"12"	"2023"	"2023"	"January"	"1"	18791
	"Florida"	"12"	"2023"	"2023"	"February"	"2"	16676
	"Florida"	"12"	"2023"	"2023"	"March"	"3"	18181
	"Florida"	"12"	"2023"	"2023"	"April"	"4"	16950
	"Florida"	"12"	"2023"	"2023"	"May"	"5"	18001
	"Florida"	"12"	"2023"	"2023"	"June"	"6"	18143
	"Florida"	"12"	"2023"	"2023"	"July"	"7"	18866
	"Florida"	"12"	"2023"	"2023"	"August"	"8"	19380
	"Florida"	"12"	"2023"	"2023"	"September"	"9"	18996
	"Florida"	"12"	"2023"	"2023"	"October"	"10"	19524
	"Florida"	"12"	"2023"	"2023"	"November"	"11"	18863
	"Florida"	"12"	"2023"	"2023"	"December"	"12"	19022
	"Florida"	"12"	"2024"	"2024"	"January"	"1"	18421
	"Florida"	"12"	"2024"	"2024"	"February"	"2"	17515
	"Georgia"	"13"	"2023"	"2023"	"January"	"1"	10700
	"Georgia"	"13"	"2023"	"2023"	"February"	"2"	9548
	"Georgia"	"13"	"2023"	"2023"	"March"	"3"	10294
	"Georgia"	"13"	"2023"	"2023"	"April"	"4"	9314
	"Georgia"	"13"	"2023"	"2023"	"May"	"5"	10132
	"Georgia"	"13"	"2023"	"2023"	"June"	"6"	10601
	"Georgia"	"13"	"2023"	"2023"	"July"	"7"	10819
	"Georgia"	"13"	"2023"	"2023"	"August"	"8"	11234
	"Georgia"	"13"	"2023"	"2023"	"September"	"9"	10685
	"Georgia"	"13"	"2023"	"2023"	"October"	"10"	10805
	"Georgia"	"13"	"2023"	"2023"	"November"	"11"	10434
	"Georgia"	"13"	"2023"	"2023"	"December"	"12"	10554
	"Georgia"	"13"	"2024"	"2024"	"January"	"1"	10453
	"Georgia"	"13"	"2024"	"2024"	"February"	"2"	9981
	"Hawaii"	"15"	"2023"	"2023"	"January"	"1"	1323
	"Hawaii"	"15"	"2023"	"2023"	"February"	"2"	1162
	"Hawaii"	"15"	"2023"	"2023"	"March"	"3"	1239
	"Hawaii"	"15"	"2023"	"2023"	"April"	"4"	1198
	"Hawaii"	"15"	"2023"	"2023"	"May"	"5"	1213
	"Hawaii"	"15"	"2023"	"2023"	"June"	"6"	1233
	"Hawaii"	"15"	"2023"	"2023"	"July"	"7"	1206
	"Hawaii"	"15"	"2023"	"2023"	"August"	"8"	1320
	"Hawaii"	"15"	"2023"	"2023"	"September"	"9"	1210
	"Hawaii"	"15"	"2023"	"2023"	"October"	"10"	1276
	"Hawaii"	"15"	"2023"	"2023"	"November"	"11"	1211
	"Hawaii"	"15"	"2023"	"2023"	"December"	"12"	1205
	"Hawaii"	"15"	"2024"	"2024"	"January"	"1"	1217
	"Hawaii"	"15"	"2024"	"2024"	"February"	"2"	1125
	"Idaho"	"16"	"2023"	"2023"	"January"	"1"	1831
	"Idaho"	"16"	"2023"	"2023"	"February"	"2"	1643
	"Idaho"	"16"	"2023"	"2023"	"March"	"3"	1912
	"Idaho"	"16"	"2023"	"2023"	"April"	"4"	1773
	"Idaho"	"16"	"2023"	"2023"	"May"	"5"	1850
	"Idaho"	"16"	"2023"	"2023"	"June"	"6"	1946
	"Idaho"	"16"	"2023"	"2023"	"July"	"7"	1957
	"Idaho"	"16"	"2023"	"2023"	"August"	"8"	1963
	"Idaho"	"16"	"2023"	"2023"	"September"	"9"	1900
	"Idaho"	"16"	"2023"	"2023"	"October"	"10"	1892
	"Idaho"	"16"	"2023"	"2023"	"November"	"11"	1862
	"Idaho"	"16"	"2023"	"2023"	"December"	"12"	1868
	"Idaho"	"16"	"2024"	"2024"	"January"	"1"	1789
	"Idaho"	"16"	"2024"	"2024"	"February"	"2"	1713
	"Illinois"	"17"	"2023"	"2023"	"January"	"1"	10078
	"Illinois"	"17"	"2023"	"2023"	"February"	"2"	9291
	"Illinois"	"17"	"2023"	"2023"	"March"	"3"	10644
	"Illinois"	"17"	"2023"	"2023"	"April"	"4"	9759
	"Illinois"	"17"	"2023"	"2023"	"May"	"5"	10501
	"Illinois"	"17"	"2023"	"2023"	"June"	"6"	10759
	"Illinois"	"17"	"2023"	"2023"	"July"	"7"	10902
	"Illinois"	"17"	"2023"	"2023"	"August"	"8"	11037
	"Illinois"	"17"	"2023"	"2023"	"September"	"9"	10621
	"Illinois"	"17"	"2023"	"2023"	"October"	"10"	10644
	"Illinois"	"17"	"2023"	"2023"	"November"	"11"	10376
	"Illinois"	"17"	"2023"	"2023"	"December"	"12"	10191
	"Illinois"	"17"	"2024"	"2024"	"January"	"1"	10204
	"Illinois"	"17"	"2024"	"2024"	"February"	"2"	9660
	"Indiana"	"18"	"2023"	"2023"	"January"	"1"	6616
	"Indiana"	"18"	"2023"	"2023"	"February"	"2"	6061
	"Indiana"	"18"	"2023"	"2023"	"March"	"3"	6717
	"Indiana"	"18"	"2023"	"2023"	"April"	"4"	6121
	"Indiana"	"18"	"2023"	"2023"	"May"	"5"	6586
	"Indiana"	"18"	"2023"	"2023"	"June"	"6"	6701
	"Indiana"	"18"	"2023"	"2023"	"July"	"7"	6877
	"Indiana"	"18"	"2023"	"2023"	"August"	"8"	7054
	"Indiana"	"18"	"2023"	"2023"	"September"	"9"	6590
	"Indiana"	"18"	"2023"	"2023"	"October"	"10"	6661
	"Indiana"	"18"	"2023"	"2023"	"November"	"11"	6461
	"Indiana"	"18"	"2023"	"2023"	"December"	"12"	6525
	"Indiana"	"18"	"2024"	"2024"	"January"	"1"	6362
	"Indiana"	"18"	"2024"	"2024"	"February"	"2"	6255
	"Iowa"	"19"	"2023"	"2023"	"January"	"1"	2892
	"Iowa"	"19"	"2023"	"2023"	"February"	"2"	2736
	"Iowa"	"19"	"2023"	"2023"	"March"	"3"	3040
	"Iowa"	"19"	"2023"	"2023"	"April"	"4"	2881
	"Iowa"	"19"	"2023"	"2023"	"May"	"5"	3125
	"Iowa"	"19"	"2023"	"2023"	"June"	"6"	3111
	"Iowa"	"19"	"2023"	"2023"	"July"	"7"	3179
	"Iowa"	"19"	"2023"	"2023"	"August"	"8"	3291
	"Iowa"	"19"	"2023"	"2023"	"September"	"9"	2969
	"Iowa"	"19"	"2023"	"2023"	"October"	"10"	2917
	"Iowa"	"19"	"2023"	"2023"	"November"	"11"	3002
	"Iowa"	"19"	"2023"	"2023"	"December"	"12"	2906
	"Iowa"	"19"	"2024"	"2024"	"January"	"1"	3047
	"Iowa"	"19"	"2024"	"2024"	"February"	"2"	2715
	"Kansas"	"20"	"2023"	"2023"	"January"	"1"	2910
	"Kansas"	"20"	"2023"	"2023"	"February"	"2"	2494
	"Kansas"	"20"	"2023"	"2023"	"March"	"3"	2854
	"Kansas"	"20"	"2023"	"2023"	"April"	"4"	2642
	"Kansas"	"20"	"2023"	"2023"	"May"	"5"	2802
	"Kansas"	"20"	"2023"	"2023"	"June"	"6"	2943
	"Kansas"	"20"	"2023"	"2023"	"July"	"7"	2927
	"Kansas"	"20"	"2023"	"2023"	"August"	"8"	3013
	"Kansas"	"20"	"2023"	"2023"	"September"	"9"	2960
	"Kansas"	"20"	"2023"	"2023"	"October"	"10"	2854
	"Kansas"	"20"	"2023"	"2023"	"November"	"11"	2821
	"Kansas"	"20"	"2023"	"2023"	"December"	"12"	2846
	"Kansas"	"20"	"2024"	"2024"	"January"	"1"	2809
	"Kansas"	"20"	"2024"	"2024"	"February"	"2"	2610
	"Kentucky"	"21"	"2023"	"2023"	"January"	"1"	4369
	"Kentucky"	"21"	"2023"	"2023"	"February"	"2"	3916
	"Kentucky"	"21"	"2023"	"2023"	"March"	"3"	4417
	"Kentucky"	"21"	"2023"	"2023"	"April"	"4"	3942
	"Kentucky"	"21"	"2023"	"2023"	"May"	"5"	4333
	"Kentucky"	"21"	"2023"	"2023"	"June"	"6"	4472
	"Kentucky"	"21"	"2023"	"2023"	"July"	"7"	4485
	"Kentucky"	"21"	"2023"	"2023"	"August"	"8"	4637
	"Kentucky"	"21"	"2023"	"2023"	"September"	"9"	4248
	"Kentucky"	"21"	"2023"	"2023"	"October"	"10"	4465
	"Kentucky"	"21"	"2023"	"2023"	"November"	"11"	4268
	"Kentucky"	"21"	"2023"	"2023"	"December"	"12"	4440
	"Kentucky"	"21"	"2024"	"2024"	"January"	"1"	4387
	"Kentucky"	"21"	"2024"	"2024"	"February"	"2"	4099
	"Louisiana"	"22"	"2023"	"2023"	"January"	"1"	4861
	"Louisiana"	"22"	"2023"	"2023"	"February"	"2"	4197
	"Louisiana"	"22"	"2023"	"2023"	"March"	"3"	4354
	"Louisiana"	"22"	"2023"	"2023"	"April"	"4"	4007
	"Louisiana"	"22"	"2023"	"2023"	"May"	"5"	4613
	"Louisiana"	"22"	"2023"	"2023"	"June"	"6"	4419
	"Louisiana"	"22"	"2023"	"2023"	"July"	"7"	4820
	"Louisiana"	"22"	"2023"	"2023"	"August"	"8"	5075
	"Louisiana"	"22"	"2023"	"2023"	"September"	"9"	4642
	"Louisiana"	"22"	"2023"	"2023"	"October"	"10"	4757
	"Louisiana"	"22"	"2023"	"2023"	"November"	"11"	4608
	"Louisiana"	"22"	"2023"	"2023"	"December"	"12"	4559
	"Louisiana"	"22"	"2024"	"2024"	"January"	"1"	4393
	"Louisiana"	"22"	"2024"	"2024"	"February"	"2"	3901
	"Maine"	"23"	"2023"	"2023"	"January"	"1"	959
	"Maine"	"23"	"2023"	"2023"	"February"	"2"	878
	"Maine"	"23"	"2023"	"2023"	"March"	"3"	946
	"Maine"	"23"	"2023"	"2023"	"April"	"4"	966
	"Maine"	"23"	"2023"	"2023"	"May"	"5"	989
	"Maine"	"23"	"2023"	"2023"	"June"	"6"	983
	"Maine"	"23"	"2023"	"2023"	"July"	"7"	1068
	"Maine"	"23"	"2023"	"2023"	"August"	"8"	1040
	"Maine"	"23"	"2023"	"2023"	"September"	"9"	983
	"Maine"	"23"	"2023"	"2023"	"October"	"10"	963
	"Maine"	"23"	"2023"	"2023"	"November"	"11"	915
	"Maine"	"23"	"2023"	"2023"	"December"	"12"	933
	"Maine"	"23"	"2024"	"2024"	"January"	"1"	944
	"Maine"	"23"	"2024"	"2024"	"February"	"2"	910
	"Maryland"	"24"	"2023"	"2023"	"January"	"1"	5592
	"Maryland"	"24"	"2023"	"2023"	"February"	"2"	4889
	"Maryland"	"24"	"2023"	"2023"	"March"	"3"	5469
	"Maryland"	"24"	"2023"	"2023"	"April"	"4"	5178
	"Maryland"	"24"	"2023"	"2023"	"May"	"5"	5516
	"Maryland"	"24"	"2023"	"2023"	"June"	"6"	5668
	"Maryland"	"24"	"2023"	"2023"	"July"	"7"	5791
	"Maryland"	"24"	"2023"	"2023"	"August"	"8"	5819
	"Maryland"	"24"	"2023"	"2023"	"September"	"9"	5473
	"Maryland"	"24"	"2023"	"2023"	"October"	"10"	5591
	"Maryland"	"24"	"2023"	"2023"	"November"	"11"	5321
	"Maryland"	"24"	"2023"	"2023"	"December"	"12"	5280
	"Maryland"	"24"	"2024"	"2024"	"January"	"1"	5445
	"Maryland"	"24"	"2024"	"2024"	"February"	"2"	5141
	"Massachusetts"	"25"	"2023"	"2023"	"January"	"1"	5311
	"Massachusetts"	"25"	"2023"	"2023"	"February"	"2"	4915
	"Massachusetts"	"25"	"2023"	"2023"	"March"	"3"	5500
	"Massachusetts"	"25"	"2023"	"2023"	"April"	"4"	5389
	"Massachusetts"	"25"	"2023"	"2023"	"May"	"5"	5732
	"Massachusetts"	"25"	"2023"	"2023"	"June"	"6"	5955
	"Massachusetts"	"25"	"2023"	"2023"	"July"	"7"	5932
	"Massachusetts"	"25"	"2023"	"2023"	"August"	"8"	6018
	"Massachusetts"	"25"	"2023"	"2023"	"September"	"9"	5658
	"Massachusetts"	"25"	"2023"	"2023"	"October"	"10"	5641
	"Massachusetts"	"25"	"2023"	"2023"	"November"	"11"	5576
	"Massachusetts"	"25"	"2023"	"2023"	"December"	"12"	5460
	"Massachusetts"	"25"	"2024"	"2024"	"January"	"1"	5470
	"Massachusetts"	"25"	"2024"	"2024"	"February"	"2"	5293
	"Michigan"	"26"	"2023"	"2023"	"January"	"1"	8027
	"Michigan"	"26"	"2023"	"2023"	"February"	"2"	7617
	"Michigan"	"26"	"2023"	"2023"	"March"	"3"	8450
	"Michigan"	"26"	"2023"	"2023"	"April"	"4"	7886
	"Michigan"	"26"	"2023"	"2023"	"May"	"5"	8432
	"Michigan"	"26"	"2023"	"2023"	"June"	"6"	8631
	"Michigan"	"26"	"2023"	"2023"	"July"	"7"	8845
	"Michigan"	"26"	"2023"	"2023"	"August"	"8"	8841
	"Michigan"	"26"	"2023"	"2023"	"September"	"9"	8268
	"Michigan"	"26"	"2023"	"2023"	"October"	"10"	8047
	"Michigan"	"26"	"2023"	"2023"	"November"	"11"	8054
	"Michigan"	"26"	"2023"	"2023"	"December"	"12"	8010
	"Michigan"	"26"	"2024"	"2024"	"January"	"1"	7959
	"Michigan"	"26"	"2024"	"2024"	"February"	"2"	7708
	"Minnesota"	"27"	"2023"	"2023"	"January"	"1"	5104
	"Minnesota"	"27"	"2023"	"2023"	"February"	"2"	4669
	"Minnesota"	"27"	"2023"	"2023"	"March"	"3"	5304
	"Minnesota"	"27"	"2023"	"2023"	"April"	"4"	5007
	"Minnesota"	"27"	"2023"	"2023"	"May"	"5"	5278
	"Minnesota"	"27"	"2023"	"2023"	"June"	"6"	5354
	"Minnesota"	"27"	"2023"	"2023"	"July"	"7"	5305
	"Minnesota"	"27"	"2023"	"2023"	"August"	"8"	5478
	"Minnesota"	"27"	"2023"	"2023"	"September"	"9"	5082
	"Minnesota"	"27"	"2023"	"2023"	"October"	"10"	5215
	"Minnesota"	"27"	"2023"	"2023"	"November"	"11"	5001
	"Minnesota"	"27"	"2023"	"2023"	"December"	"12"	4908
	"Minnesota"	"27"	"2024"	"2024"	"January"	"1"	4808
	"Minnesota"	"27"	"2024"	"2024"	"February"	"2"	4868
	"Mississippi"	"28"	"2023"	"2023"	"January"	"1"	3054
	"Mississippi"	"28"	"2023"	"2023"	"February"	"2"	2570
	"Mississippi"	"28"	"2023"	"2023"	"March"	"3"	2823
	"Mississippi"	"28"	"2023"	"2023"	"April"	"4"	2548
	"Mississippi"	"28"	"2023"	"2023"	"May"	"5"	2787
	"Mississippi"	"28"	"2023"	"2023"	"June"	"6"	2990
	"Mississippi"	"28"	"2023"	"2023"	"July"	"7"	2954
	"Mississippi"	"28"	"2023"	"2023"	"August"	"8"	3195
	"Mississippi"	"28"	"2023"	"2023"	"September"	"9"	2928
	"Mississippi"	"28"	"2023"	"2023"	"October"	"10"	2962
	"Mississippi"	"28"	"2023"	"2023"	"November"	"11"	2832
	"Mississippi"	"28"	"2023"	"2023"	"December"	"12"	2815
	"Mississippi"	"28"	"2024"	"2024"	"January"	"1"	2828
	"Mississippi"	"28"	"2024"	"2024"	"February"	"2"	2701
	"Missouri"	"29"	"2023"	"2023"	"January"	"1"	5581
	"Missouri"	"29"	"2023"	"2023"	"February"	"2"	5013
	"Missouri"	"29"	"2023"	"2023"	"March"	"3"	5570
	"Missouri"	"29"	"2023"	"2023"	"April"	"4"	5163
	"Missouri"	"29"	"2023"	"2023"	"May"	"5"	5657
	"Missouri"	"29"	"2023"	"2023"	"June"	"6"	5634
	"Missouri"	"29"	"2023"	"2023"	"July"	"7"	5916
	"Missouri"	"29"	"2023"	"2023"	"August"	"8"	6099
	"Missouri"	"29"	"2023"	"2023"	"September"	"9"	5603
	"Missouri"	"29"	"2023"	"2023"	"October"	"10"	5823
	"Missouri"	"29"	"2023"	"2023"	"November"	"11"	5591
	"Missouri"	"29"	"2023"	"2023"	"December"	"12"	5468
	"Missouri"	"29"	"2024"	"2024"	"January"	"1"	5632
	"Missouri"	"29"	"2024"	"2024"	"February"	"2"	5313
	"Montana"	"30"	"2023"	"2023"	"January"	"1"	849
	"Montana"	"30"	"2023"	"2023"	"February"	"2"	835
	"Montana"	"30"	"2023"	"2023"	"March"	"3"	922
	"Montana"	"30"	"2023"	"2023"	"April"	"4"	904
	"Montana"	"30"	"2023"	"2023"	"May"	"5"	961
	"Montana"	"30"	"2023"	"2023"	"June"	"6"	956
	"Montana"	"30"	"2023"	"2023"	"July"	"7"	1035
	"Montana"	"30"	"2023"	"2023"	"August"	"8"	957
	"Montana"	"30"	"2023"	"2023"	"September"	"9"	920
	"Montana"	"30"	"2023"	"2023"	"October"	"10"	979
	"Montana"	"30"	"2023"	"2023"	"November"	"11"	868
	"Montana"	"30"	"2023"	"2023"	"December"	"12"	886
	"Montana"	"30"	"2024"	"2024"	"January"	"1"	881
	"Montana"	"30"	"2024"	"2024"	"February"	"2"	881
	"Nebraska"	"31"	"2023"	"2023"	"January"	"1"	2023
	"Nebraska"	"31"	"2023"	"2023"	"February"	"2"	1798
	"Nebraska"	"31"	"2023"	"2023"	"March"	"3"	2111
	"Nebraska"	"31"	"2023"	"2023"	"April"	"4"	1957
	"Nebraska"	"31"	"2023"	"2023"	"May"	"5"	1994
	"Nebraska"	"31"	"2023"	"2023"	"June"	"6"	2124
	"Nebraska"	"31"	"2023"	"2023"	"July"	"7"	2039
	"Nebraska"	"31"	"2023"	"2023"	"August"	"8"	2109
	"Nebraska"	"31"	"2023"	"2023"	"September"	"9"	1924
	"Nebraska"	"31"	"2023"	"2023"	"October"	"10"	2014
	"Nebraska"	"31"	"2023"	"2023"	"November"	"11"	2027
	"Nebraska"	"31"	"2023"	"2023"	"December"	"12"	1984
	"Nebraska"	"31"	"2024"	"2024"	"January"	"1"	2010
	"Nebraska"	"31"	"2024"	"2024"	"February"	"2"	1974
	"Nevada"	"32"	"2023"	"2023"	"January"	"1"	2717
	"Nevada"	"32"	"2023"	"2023"	"February"	"2"	2451
	"Nevada"	"32"	"2023"	"2023"	"March"	"3"	2590
	"Nevada"	"32"	"2023"	"2023"	"April"	"4"	2468
	"Nevada"	"32"	"2023"	"2023"	"May"	"5"	2558
	"Nevada"	"32"	"2023"	"2023"	"June"	"6"	2638
	"Nevada"	"32"	"2023"	"2023"	"July"	"7"	2656
